,F2,F4,F5,F9,F12,F13,F15,F17,F18,F20
886,1,3,3,70.32678,0.330764,0.0,0.0,0.520438,0.108548,1
887,1,2,2,31.537569,0.0,0.0,0.0,0.481576,0.121771,1
888,1,43,42,58.822238,0.655759,0.082736,0.0,0.553114,0.119508,1
889,1,14,13,63.270612,0.124298,0.008151,0.0,0.572817,0.090676,1
890,1,49,48,25.311425,1.023381,0.003139,0.0,0.51415,0.087898,0
891,1,12,11,57.776566,0.117606,0.0,0.0,0.491677,0.134129,0
892,0,11,10,52.400954,0.789584,0.005188,0.0,0.490629,0.087155,1
893,1,58,55,56.709584,4.423014,1.065657,0.075568,0.557213,0.128002,1
894,1,26,25,2.411393,0.0,0.0,0.0,0.504559,0.098208,1
895,1,45,39,195.949062,4.892434,0.470367,0.132033,0.537545,0.091804,1
896,1,7,7,92.535168,0.720486,0.028819,0.0,0.51542,0.091605,1
897,1,22,21,28.403077,0.108398,0.003906,0.001953,0.510998,0.08496,1
898,0,21,19,186.916906,5.622976,0.253029,0.0,0.574701,0.096746,1
899,1,31,31,24.170697,0.030744,0.0,0.0,0.538726,0.115289,1
900,1,31,31,1.362503,0.0,0.0,0.0,0.534504,0.091137,0
901,1,25,23,38.923403,1.388388,0.223134,0.003099,0.508813,0.104336,1
902,0,51,50,11.056479,0.084103,0.0,0.0,0.544021,0.10435,1
903,1,6,5,82.674977,1.445276,0.252794,0.0,0.491023,0.097388,0
904,1,4,4,139.921098,1.293749,0.0,0.0,0.4815,0.174995,0
905,1,33,32,20.10464,0.107717,0.001539,0.0,0.520941,0.11695,1
906,1,63,60,13.195493,0.0,0.0,0.0,0.513092,0.123966,1
907,1,8,7,52.047872,0.059052,0.001018,0.0,0.557803,0.095704,1
908,1,86,84,50.744773,0.275197,0.003058,0.0,0.501192,0.152887,0
909,1,14,13,33.998785,0.432491,0.017098,0.0,0.562255,0.074429,0
910,1,12,12,159.205705,1.396154,0.216645,0.024072,0.516888,0.094281,1
911,1,35,35,25.729715,1.060249,0.616317,0.0,0.500692,0.109839,0
912,1,35,32,47.616876,1.422412,0.232272,0.04111,0.553208,0.09147,1
913,1,70,69,22.713486,0.060886,0.0,0.0,0.502431,0.062408,1
914,1,81,75,62.50233,1.550799,0.20491,0.003105,0.51257,0.093141,1
915,1,22,22,187.942208,6.536449,0.176525,0.0,0.474259,0.081242,0
916,1,16,13,232.191751,2.701129,1.170489,0.162682,0.479711,0.11357,1
917,1,13,12,32.363347,0.40708,0.0,0.0,0.55111,0.08264,0
918,1,70,70,19.51811,0.16826,0.0,0.0,0.530772,0.091076,1
919,0,45,44,27.641907,0.073143,0.0,0.0,0.511283,0.103619,0
920,1,49,47,16.249863,0.0,0.0,0.0,0.520964,0.129436,0
921,1,19,19,10.727111,0.0,0.0,0.0,0.530975,0.129374,1
922,1,49,47,55.625153,5.831645,1.710981,0.200934,0.555502,0.103511,0
923,1,24,23,43.58214,0.318637,0.001949,0.0,0.510198,0.096468,0
924,1,24,24,11.834025,0.0,0.0,0.0,0.563762,0.118621,0
925,1,42,41,16.355849,0.540727,0.264972,0.14327,0.502896,0.127864,0
926,1,51,51,13.706668,0.0,0.0,0.0,0.540211,0.11772,1
927,1,14,14,90.759179,0.634947,0.005888,0.003925,0.524259,0.107951,1
928,1,7,7,68.254673,0.358345,0.008646,0.003843,0.50504,0.110482,0
929,1,11,10,53.091251,0.280916,0.021165,0.003848,0.499752,0.100052,1
930,1,33,30,180.646355,6.820715,2.320945,0.135113,0.505824,0.101085,1
931,1,17,17,68.669165,1.350667,0.13282,0.00586,0.503945,0.107428,0
932,0,52,47,19.306216,0.335628,0.054921,0.001526,0.556149,0.102214,1
